"","STCODE","ENTITY","SITECODE","WATERYEAR","DATE_TIME","LABNO","TYPE","INTERVAL","MEAN_LPS","Q_AREA_CM","QCODE","PH","PHCODE","COND","CONDCODE","ALK","ALKCODE","SSED","SSEDCODE","SI","SICODE","UTP","UTPCODE","TDP","TDPCODE","PARTP","PARTPCODE","PO4P","PO4PCODE","UTN","UTNCODE","TDN","TDNCODE","DON","DONCODE","PARTN","PARTNCODE","UTKN","UTKNCODE","TKN","TKNCODE","NH3N","NH3NCODE","NO3N","NO3NCODE","NA.","NACODE","K","KCODE","CA","CACODE","MG","MGCODE","SO4S","SO4SCODE","CL","CLCODE","DOC","DOCCODE","PVOL","PVOLCODE","ANCA","ANCACODE"
"26","CF002",1,"GSLOOK",2007,2006-10-17 13:40:00,"3957","F",20.13,265.58,0.74,"A",7.6,"A",40.2,"A",19.87,"A",1.72,"A",8.65,"A",0.035,"A",0.029,"A",0.006,"D",0.015,"A",0.05,"A",0.03,"A",0.03,"D*",0.02,"D",NA,"N",NA,"N",0.003,"*",0,"*",2.67,"A",0.52,"A",3.68,"A",1.33,"A",0.09,"A",0.89,"A",0.71,"A",9.202,"A",1.02,"D*"
"27","CF002",1,"GSLOOK",2007,2006-11-06 14:00:00,"3972","F",20.01,866.33,2.4,"A",7.5,"A",39.9,"A",19.33,"A",2.81,"A",8.6,"A",0.034,"A",0.034,"A",0,"D",0.015,"A",0.09,"A",0.09,"A",0.06,"D",0,"D",NA,"N",NA,"N",0.022,"A",0.012,"A",2.65,"A",0.49,"A",3.73,"A",1.44,"A",0.09,"A",0.92,"A",1.02,"A",9.041,"A",0.97,"D"
"28","CF002",1,"GSLOOK",2007,2006-11-27 14:25:00,"3988","F",21.02,8971.46,26.1,"A",7.3,"A",29,"A",14,"A",9.58,"A",7.32,"A",0.035,"A",0.025,"A",0.01,"D",0.013,"A",0.1,"A",0.08,"A",0.04,"D",0.02,"D",NA,"N",NA,"N",0.006,"*",0.033,"A",2.1,"A",0.41,"A",2.71,"A",0.97,"A",0.09,"A",0.72,"A",1.43,"A",11.418,"A",0.97,"D"
"29","CF002",1,"GSLOOK",2007,2006-12-19 14:35:00,"4003","P",22.01,8978.39,27.35,"A",7.2,"A",27.6,"A",13.37,"A",30.72,"A",7.33,"A",0.055,"A",0.028,"A",0.027,"D",0.013,"A",0.1,"A",0.06,"A",0.03,"D",0.04,"D",NA,"N",NA,"N",0.012,"A",0.016,"A",2.04,"A",0.37,"A",2.54,"A",0.89,"A",0.09,"A",0.73,"A",0.95,"A",12.545,"Q",0.99,"D"
"30","CF002",1,"GSLOOK",2007,2007-01-09 11:25:00,"4018","P",20.87,8495.59,24.54,"A",7.3,"A",30,"A",13.71,"A",4.82,"A",7.56,"A",0.035,"A",0.029,"A",0.006,"D",0.015,"A",0.07,"A",0.06,"A",0.03,"D",0.01,"D",NA,"N",NA,"N",0.017,"A",0.014,"A",1.89,"A",0.36,"A",2.64,"A",0.89,"A",0.09,"A",0.63,"A",0.9,"A",7.933,"Q",1.01,"D"
"31","CF002",1,"GSLOOK",2007,2007-01-30 14:00:00,"4033","P",21.11,3282.32,9.59,"A",7.3,"A",30.7,"A",15.08,"A",2.04,"A",8.31,"A",0.028,"A",0.019,"A",0.009,"D",0.013,"A",0.03,"A",0.03,"A",0.03,"D*",0,"D",NA,"N",NA,"N",0.002,"*",0,"*",1.92,"A",0.38,"A",2.08,"A",1.07,"A",0.09,"A",0.69,"A",0.61,"A",5.206,"Q",1.15,"D*"
"32","CF002",1,"GSLOOK",2007,2007-02-20 15:10:00,"4048","P",21.05,4571.75,13.32,"A",7.4,"A",32.4,"A",15.83,"A",17.92,"A",8.48,"A",0.034,"A",0.028,"A",0.006,"D",0.018,"A",0.07,"A",0.06,"A",0.04,"D",0.01,"D",NA,"N",NA,"N",0.005,"*",0.013,"A",2.14,"A",0.31,"A",3.15,"A",1.08,"A",0.11,"A",0.76,"A",1.01,"A",8.712,"Q",1,"D"
"33","CF002",1,"GSLOOK",2007,2007-03-13 10:35:00,"4064","F",20.81,5624.24,16.2,"A",7.3,"A",27.5,"A",14.17,"A",1.61,"A",7.97,"A",0.026,"A",0.026,"A",0,"D",0.014,"A",0.05,"A",0.03,"A",0.02,"D",0.02,"D",NA,"N",NA,"N",0.005,"*",0.005,"A",1.87,"A",0.35,"A",2.7,"A",0.94,"A",0.09,"A",0.7,"A",0.8,"A",9.439,"A",1.02,"D"
"34","CF002",1,"GSLOOK",2007,2007-04-03 12:55:00,"4079","F",21.1,4338.62,12.67,"A",7.3,"A",27.1,"A",13.37,"A",1.22,"A",7.3,"A",0.021,"A",0.017,"A",0.004,"D",0.01,"A",0.05,"A",0.05,"A",0.02,"D",0,"D",NA,"N",NA,"N",0.025,"A",0.009,"A",1.76,"A",0.37,"A",2.29,"A",0.81,"A",0.08,"A",0.57,"A",0.71,"A",9.399,"A",1.08,"D"
"35","CF002",1,"GSLOOK",2007,2007-04-24 08:45:00,"4094","F",20.83,2962.4,8.54,"A",7.4,"A",30.6,"A",15.08,"A",2.46,"A",8.1,"A",0.025,"A",0.023,"A",0.002,"D",0.014,"A",0.04,"A",0.04,"A",0.04,"D*",0,"D",NA,"N",NA,"N",0.002,"*",0.001,"*",2.02,"A",0.37,"A",3.08,"A",0.75,"A",0.09,"A",0.88,"A",0.91,"A",9.894,"A",1.07,"D*"
